Technology;Test;Run;Operations_Count;Total_Duration_ms;Operations_per_second
RN_Legacy;Simple;1;100000;13697;7301
RN_Legacy;Simple;2;100000;13739;7279
RN_Legacy;Simple;3;100000;13284;7528
RN_Legacy;Simple;4;100000;13627;7338
RN_Legacy;Simple;5;100000;13369;7480
RN_Legacy;Simple;6;100000;13338;7497
RN_Legacy;Simple;7;100000;13388;7469
RN_Legacy;Simple;8;100000;13448;7436
RN_Legacy;Simple;9;100000;13327;7504
RN_Legacy;Simple;10;100000;13410;7457
;;;;;
RN_NewArch;Simple;1;100000;210939;474
RN_NewArch;Simple;2;100000;230293;434
RN_NewArch;Simple;3;100000;301359;332
RN_NewArch;Simple;4;100000;241583;414
RN_NewArch;Simple;5;100000;218341;458
RN_NewArch;Simple;6;100000;226757;441
RN_NewArch;Simple;7;100000;238095;420
RN_NewArch;Simple;8;100000;247525;404
RN_NewArch;Simple;9;100000;263158;380
RN_NewArch;Simple;10;100000;287356;348
;;;;;
;;;;;
RN_NewArch;Simple;1;100000;247084;405
RN_NewArch;Simple;2;100000;214024;467
RN_NewArch;Simple;3;100000;250669;399
RN_NewArch;Simple;4;100000;257937;388
RN_NewArch;Simple;5;100000;229358;436
RN_NewArch;Simple;6;100000;238095;420
RN_NewArch;Simple;7;100000;263158;380
RN_NewArch;Simple;8;100000;221239;452
RN_NewArch;Simple;9;100000;270270;370
RN_NewArch;Simple;10;100000;244499;409
